corpus_id,author,title,year,decision,ghost_test,outlier_flag,text_quality_status,source_url
BGH308,E. and H. Heron (Kate O'Brien Ryall Prichard and Hesketh Prichard),The Story of Yand Manor House,1898,include,A perceptible or materially effective dead-returning agent is narratively central.,corporeal revenant outlier,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0605811.txt
BGH309,E. and H. Heron (Kate O'Brien Ryall Prichard and Hesketh Prichard),"The Story of the Spaniards, Hammersmith",1898,include,A perceptible or materially effective dead-returning agent is narratively central.,psychic-detective case,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0605811.txt
BGH310,E. and H. Heron (Kate O'Brien Ryall Prichard and Hesketh Prichard),The Story of Sevens Hall,1898,include,A perceptible or materially effective dead-returning agent is narratively central.,psychic-detective case,clean public-domain transcription,https://gutenberg.net.au/ebooks06/0605811.txt
BGH311,Louisa Baldwin,The Shadow on the Blind,1895,include,A perceptible or materially effective dead-returning agent is narratively central.,,clean public-domain transcription,https://www.steve-calvert.co.uk/online-text-real-shadow-blind-louisa-baldwin/
BGH312,Dinah Maria Craik,A Dreadful Ghost,1862,include,"Included under the project's explicit allowance for ambiguous apparitions: the returning dead man is central, though the frame finally identifies the encounter as a dream.",dream ghost / ambiguous apparition,clean public-domain transcription,https://www.steve-calvert.co.uk/a-dreadful-ghost-mrs-craik/
BGH313,Dinah Maria Craik,The Last House in C— Street,1856,include,A perceptible or materially effective dead-returning agent is narratively central.,crisis apparition / factual-testimony frame,clean public-domain transcription,https://scalar.library.yorku.ca/victorian-ghosts/dinah-mulock-craik-1826-87---the-last-house-in-c-street-1856
BGH314,Lettice Galbraith (Lizzie Susan Gibson),A Ghost’s Revenge,1893,include,A perceptible or materially effective dead-returning agent is narratively central.,,clean public-domain transcription,https://www.steve-calvert.co.uk/a-ghosts-revenge-lettice-galbraith/
BGH315,Lettice Galbraith (Lizzie Susan Gibson),The Trainer’s Ghost,1893,include,A perceptible or materially effective dead-returning agent is narratively central.,,clean public-domain transcription,https://www.steve-calvert.co.uk/the-trainers-ghost-lettice-galbraith/
BGH316,Lettice Galbraith (Lizzie Susan Gibson),The Case of Lady Lukestan,1893,include,A perceptible or materially effective dead-returning agent is narratively central.,legal ghost,clean public-domain transcription,https://www.steve-calvert.co.uk/the-case-of-lady-lukestan-lettice-galbraith/
BGH317,Ada Buisson,The Ghost’s Summons,1868,include,A perceptible or materially effective dead-returning agent is narratively central.,ghost as forensic evidence,clean public-domain transcription,https://www.spl.org/Seattle-Public-Library/documents/transcriptions/2020/20-12-17_The-Ghosts-Summons.pdf
