corpus_id,title,author,first_publication_year,genre,corpus_status,market_status,date_status,apparition_class,ghost_role,mediating_object,haunting_site,ontological_certainty,outlier_flag,source_id,source_container,source_url,boundary_method,word_count,sha256,local_text_file,notes,corpus_layer,recovery_priority,gender_inference_status,publication_route,digitization_route,inclusion_rationale,credited_author,compiler_editor,translator_reteller,oral_source_or_informant,source_community_or_tradition,author_gender,author_geography,colonial_relation,original_language,pseudonym_or_collaboration,attribution_certainty,text_quality_status,screening_version,version_action
BGH011,The Ghost and the Bone-Setter,Joseph Sheridan Le Fanu,1838,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG12647,PG12647_J_S_Le_Fanu_s_Ghostly_Tales_Volume_4.txt,https://www.gutenberg.org/ebooks/12647,manual_boundary,3737,e4dd3ddb5be7c28bbcdf57c0ee12ac6eec5804375ec7f0aab6aace72b880c31f,texts/BGH011_Joseph_Sheridan_Le_Fanu_The_Ghost_and_the_Bone_Setter.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH012,The Mysterious Lodger,Joseph Sheridan Le Fanu,1850,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG12647,PG12647_J_S_Le_Fanu_s_Ghostly_Tales_Volume_4.txt,https://www.gutenberg.org/ebooks/12647,manual_boundary,21533,6cdc708caf348d2e143c51b59386999eef64816afaf0558cd4738555ddec802d,texts/BGH012_Joseph_Sheridan_Le_Fanu_The_Mysterious_Lodger.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH013,A Chapter in the History of a Tyrone Family,Joseph Sheridan Le Fanu,1836,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG12828,PG12828_Two_Ghostly_Mysteries.txt,https://www.gutenberg.org/ebooks/12828,manual_boundary,14468,2c70dbc3745ebb6984534e7d393652e3796cfbda2c1c593779711b0d9c4908e8,texts/BGH013_Joseph_Sheridan_Le_Fanu_A_Chapter_in_the_History_of_a_Tyrone_Family.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH014,The Murdered Cousin,Joseph Sheridan Le Fanu,1851,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG12828,PG12828_Two_Ghostly_Mysteries.txt,https://www.gutenberg.org/ebooks/12828,manual_boundary,13395,46d65c70df2d9f421301c70443624190b986b632dba3be19e3e6bccbfdcd6d90,texts/BGH014_Joseph_Sheridan_Le_Fanu_The_Murdered_Cousin.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Joseph Sheridan Le Fanu,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH015,The Haunted House,Charles Dickens,1859,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1289,PG1289_Three_Ghost_Stories.txt,https://www.gutenberg.org/ebooks/1289,manual_boundary,11329,23c749ad0072491c709dda2cd88584c1a43a16cc5219037133ca4acf4c2f46d8,texts/BGH015_Charles_Dickens_The_Haunted_House.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Charles Dickens,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH016,The Signal-Man,Charles Dickens,1866,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1289,PG1289_Three_Ghost_Stories.txt,https://www.gutenberg.org/ebooks/1289,manual_boundary,5184,d2e87502c58c7660ea09ba35ee6d3d5bd7fa89dfcfea7a21af70faa8b2833ff7,texts/BGH016_Charles_Dickens_The_Signal_Man.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Charles Dickens,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH017,The Trial for Murder,Charles Dickens,1865,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1289,PG1289_Three_Ghost_Stories.txt,https://www.gutenberg.org/ebooks/1289,manual_boundary,4631,950d557cf22b76ea5e64dfdf92ed1ab22b312d5f09eaa1a46f919323d17d45ed,texts/BGH017_Charles_Dickens_The_Trial_for_Murder.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Charles Dickens,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH018,"The Haunted and the Haunters; or, The House and the Brain",Edward Bulwer-Lytton,1859,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG14195,PG14195_The_Haunted_and_the_Haunters.txt,https://www.gutenberg.org/ebooks/14195,whole autonomous work,11199,85879c731072d07e16715619f4491e5b5aba7fd505c2e1d3a7a233908f239c07,texts/BGH018_Edward_Bulwer_Lytton_The_Haunted_and_the_Haunters_or_The_House_and_the_Brain.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Edward Bulwer-Lytton,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH019,Death of the Laird's Jock,Walter Scott,1828,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1668,PG1668_The_Tapestried_Chamber_and_Death_of_the_Laird_s_Jock.txt,https://www.gutenberg.org/ebooks/1668,manual_boundary,2029,0468471c6fd3111a1c420851c96c1a6192e8e12d1b0d105ca9f44970a78957a7,texts/BGH019_Walter_Scott_Death_of_the_Laird_s_Jock.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Walter Scott,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH020,The Tapestried Chamber,Walter Scott,1828,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1668,PG1668_The_Tapestried_Chamber_and_Death_of_the_Laird_s_Jock.txt,https://www.gutenberg.org/ebooks/1668,manual_boundary,2208,3d7e10fad28f9a1978eb65011557ca922bed6bbd319e44262e198c8927fe9614,texts/BGH020_Walter_Scott_The_Tapestried_Chamber.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Walter Scott,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH021,The Turn of the Screw,Henry James,1898,novella / novel,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG209,PG209_The_Turn_of_the_Screw.txt,https://www.gutenberg.org/ebooks/209,whole autonomous work,42878,0fea5ae1c05152a2ad7909650997ea5652d902bc9624f03c0f1797b15717a737,texts/BGH021_Henry_James_The_Turn_of_the_Screw.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Henry James,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH022,By the Waters of Paradise,F. Marion Crawford,1881,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG22246,PG22246_The_Upper_Berth_and_By_the_Waters_of_Paradise.txt,https://www.gutenberg.org/ebooks/22246,manual_boundary,9623,33eb66c97eafb921aa5bd55d4ba1902efc9d4edf2982345b4ae5d6b4c76cd3b7,texts/BGH022_F_Marion_Crawford_By_the_Waters_of_Paradise.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,F. Marion Crawford,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH023,The Upper Berth,F. Marion Crawford,1886,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG22246,PG22246_The_Upper_Berth_and_By_the_Waters_of_Paradise.txt,https://www.gutenberg.org/ebooks/22246,manual_boundary,8537,bcfc31806b557e35988581505d15783b47617a3cafd22a2dfb9f88749b5bc656,texts/BGH023_F_Marion_Crawford_The_Upper_Berth.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,F. Marion Crawford,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH024,A Christmas Carol,Charles Dickens,1843,novella / novel,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG46,PG46_A_Christmas_Carol.txt,https://www.gutenberg.org/ebooks/46,whole autonomous work,28552,c64c849fa6dc80a049d8809a2e7ddf4888bd7897ef1ec6ae2f58e1383e6ccbb5,texts/BGH024_Charles_Dickens_A_Christmas_Carol.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Charles Dickens,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH025,The Haunted Man and the Ghost's Bargain,Charles Dickens,1848,novella / novel,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG644,PG644_The_Haunted_Man_and_the_Ghost_s_Bargain.txt,https://www.gutenberg.org/ebooks/644,whole autonomous work,33949,2224a22c8ce8c06d164da61ed1991da2c2cb562e92e108b577afbc6a0a7c2957,texts/BGH025_Charles_Dickens_The_Haunted_Man_and_the_Ghost_s_Bargain.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Charles Dickens,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH026,The Ghost-Seer,Friedrich Schiller; English translation,1795,novella / novel,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG6781,PG6781_The_Ghost_Seer.txt,https://www.gutenberg.org/ebooks/6781,whole autonomous work,45533,79d71e4ce6630e33f414802640b0e22d30b0ee25613fa09720b8eccf819d7ac7,texts/BGH026_Friedrich_Schiller_English_translation_The_Ghost_Seer.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Friedrich Schiller; English translation,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH027,The Uninhabited House,Charlotte Riddell,1875,novella / novel,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG8602,PG8602_The_Uninhabited_House.txt,https://www.gutenberg.org/ebooks/8602,whole autonomous work,52251,2ed81b50ba9fca687eb1991e5e666de8d8da230bf86ce2fd7204be9b70583e38,texts/BGH027_Charlotte_Riddell_The_Uninhabited_House.txt,,first_pass_175,,woman; public author identity; authority record still recommended,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Charlotte Riddell,,,,,woman,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH028,To Be Read at Dusk,Charles Dickens,1852,short story,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG924,PG924_To_Be_Read_at_Dusk.txt,https://www.gutenberg.org/ebooks/924,whole autonomous work,4546,35fff4f754a45c1d62ae1f6d5f80f7c573bb164e7c1cc9a8df0996961747aef3,texts/BGH028_Charles_Dickens_To_Be_Read_at_Dusk.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Charles Dickens,,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH029,A DEAD SECRET,Lafcadio Hearn (translator/reteller),1904,short story / tale,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1210,PG1210_Kwaidan.txt,https://www.gutenberg.org/ebooks/1210,TOC-to-heading extraction,905,a63a4ea4d5ece5f64fde034c1934a65a852f3f1d28e02e816a33f071825e3e7e,texts/BGH029_Lafcadio_Hearn_translator_reteller_A_DEAD_SECRET.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Lafcadio Hearn (translator/reteller),,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH030,BLOWING HER BREATH UPON HIM,Lafcadio Hearn (translator/reteller),1904,short story / tale,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1210,PG1210_Kwaidan.txt,https://www.gutenberg.org/ebooks/1210,TOC-to-heading extraction,993,cf7c938c867a7b47425d07b307bb6ad4a8a4ee1adae9fe248e46f50347bdc36f,texts/BGH030_Lafcadio_Hearn_translator_reteller_BLOWING_HER_BREATH_UPON_HIM.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Lafcadio Hearn (translator/reteller),,Lafcadio Hearn,,,not authority-coded,,,,,repaired from source container,legacy corpus transcription/surrogate,v0.2 inherited,bibliographic attribution/title repair
BGH031,DIPLOMACY,Lafcadio Hearn (translator/reteller),1904,short story / tale,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1210,PG1210_Kwaidan.txt,https://www.gutenberg.org/ebooks/1210,TOC-to-heading extraction,724,0771bd0021aaaa3a785a7409e26b3819361912f33328be2aa2fb3a55610949cd,texts/BGH031_Lafcadio_Hearn_translator_reteller_DIPLOMACY.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Lafcadio Hearn (translator/reteller),,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH032,OF A MIRROR AND A BELL,Lafcadio Hearn (translator/reteller),1904,short story / tale,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1210,PG1210_Kwaidan.txt,https://www.gutenberg.org/ebooks/1210,TOC-to-heading extraction,1650,4c802d74a1fc75d288ba0772966f1d22d2647cd0a0965b45c096fd657745e9fd,texts/BGH032_Lafcadio_Hearn_translator_reteller_OF_A_MIRROR_AND_A_BELL.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Lafcadio Hearn (translator/reteller),,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
BGH033,OSHIDORI,Lafcadio Hearn (translator/reteller),1904,short story / tale,confirmed_textual_fit,confirmed British/Irish/colonial venue,confirmed,ghost/apparition—code after close reading,uncoded,uncoded,uncoded,uncoded,No—reassess during coding,PG1210,PG1210_Kwaidan.txt,https://www.gutenberg.org/ebooks/1210,TOC-to-heading extraction,481,95dc8b3ef2933397e2397544fac2465d04f5cffd4293d26f136a7a8a1a33ee1d,texts/BGH033_Lafcadio_Hearn_translator_reteller_OSHIDORI.txt,,first_pass_175,,not yet authority-coded,legacy corpus record; see market_status and notes,Project Gutenberg or existing local surrogate,Retained from the documented first-pass/screened-expansion corpus.,Lafcadio Hearn (translator/reteller),,,,,not authority-coded,,,,,legacy credited attribution,legacy corpus transcription/surrogate,v0.2 inherited,retained from v0.2
